1idc:m1 -100.0 8.695
1idc:m2 -11.0 8.695
1idc:m3 -13.55 8.695
1idc:m4 -42.6 8.695
1idc:m5 -100.0 8.695
1idc:m6 -100.0 8.695
1idc:m7 975.433 8.695
1idc:m8 -51.0 8.695
1idc:m9 -7.3 8.695
1idc:m10 -9.5 8.695
1idc:m11 -9.5 8.695
1idc:m12 -10.0 8.695
1idc:m13 -10.19977 8.695
1idc:m14 -14.1 8.695
1idc:m15 -403.6337 8.695
1idc:m16 -402.9 8.695
1idc:m17 -5.202565 8.695
1idc:m18 -5.202565 8.695
1idc:m19 -5.202565 8.695
1idc:m20 -0.9 8.695
1idc:m21 -20.0 8.695
1idc:m22 -150.0 8.695
1idc:m23 -382.55 8.695
1idc:m24 -50.0 8.695
1idc:m25 -16.459937 8.695
1idc:m26 -3.074 8.695
1idc:m27 -50.68 8.695
1idc:m28 -28.0 8.695
1idc:m29 -10.127 8.695
1idc:m30 -25.7 8.695
1idc:m31 -8.914 8.695
1idc:m32 -13.2 8.695
1idc:m33 -13878.3882473 8.695
1idc:m34 -12.632812 8.695
1idc:m35 -31.0 8.695
1idc:m36 -3.135188 8.695
1idc:m37 -17.92 8.695
1idc:m38 -7.299316 8.695
1idc:m39 -10.0 8.695
1idc:m40 -7.839 8.695
1idc:m41 -1.0 8.695
1idc:m42 -5.0 8.695
1idc:m43 -5.0 8.695
1idc:m44 -22.0 8.695
1idc:m45 -6.0 8.695
1idc:m46 -5.5 8.695
1idc:m47 -5511.29951875 8.695
1idc:m48 -26.99944 8.695
1idc:m49 -26.78375 8.695
1idc:m50 -15.0 8.695
1idc:m51 -3.947087312 8.695
1idc:m52 -29.69649 8.695
1idc:m53 -26.01476 8.695
1idc:m54 -18.6754798889 8.695
1idc:m55 -28.0 8.695
1idc:m56 -1.0 8.695
1idc:m57 -91.0 8.695
1idc:m58 -190.6195 8.695
1idc:m59 -300.0 8.695
1idc:m60 111.0 8.695
1idc:m61 -5.98615 8.695
1idc:m62 -0.4121 8.695
1idc:m63 -3.5 8.695
1idc:m64 -0.300423879992 8.695
1idc:m65 -6.993 8.695
1idc:m66 -12.277 8.695
1idc:m67 -3.852 8.695
1idc:m68 -4.284 8.695
1idc:m69 -40.0 8.695
1idc:m70 -2.7 8.695
1idc:m71 -2.3 8.695
1idc:m72 -1000.0 8.695
1idc:m73 -3.498 8.695
1idc:m74 -4.0085 8.695
1idc:m75 -3.3925 8.695
1idc:m76 -13.3875 8.695
1idc:m77 -11.505 8.695
1idc:m78 -10.381 8.695
1idc:m79 -5.0 8.695
1idc:m80 -7.904 8.695
1idc:m81 -11.7605 8.695
1idc:m82 -9.5712 8.695
1idc:m83 -12.875 8.695
1idc:m84 -23.14004 8.695
1idc:m85 -41.833544005 8.695
1idc:m86 -5.5 8.695
1idc:m87 -7.0 8.695
1idc:m88 -5.2745 8.695
1idc:m89 0.0 8.695
1idc:m90 0.0 8.695
1idc:m91 0.0 8.695
1idc:m92 0.0 8.695
1idc:m93 0.0 8.695
1idc:m94 0.0 8.695
1idc:m95 0.0 8.695
1idc:m96 0.0 8.695
