65.251 0.556004 5 1797455 1771714 1002600
65.256 0.583488 5 1920830 1902419 1047375
65.261 0.601225 5 1979849 1962746 1061600
65.266 0.613472 5 2002844 1986027 1061131
65.271 0.638623 5 2043891 2027691 1056517
65.276 0.661395 5 2047822 2031755 1034844
65.281 0.688863 5 2063158 2047206 1014512
65.286 0.73128 5 2081946 2066322 981536
65.291 0.771002 5 2080640 2064955 942769
65.296 0.842673 5 2097092 2081714 884823
65.301 0.896813 5 2112765 2097641 844706
65.306 0.944552 5 2111201 2096089 804830
65.311 1.03903 5 2109994 2094791 732006
65.316 1.08745 5 2103312 2087986 695247
65.321 1.15883 5 2112687 2097519 650443
65.326 1.25009 5 2136219 2121514 600668
65.331 1.33174 5 2158535 2144287 559662
65.336 1.41225 5 2161243 2147142 517220
65.341 1.51206 5 2165503 2151517 469235
65.346 1.59151 5 2158200 2144097 432068
65.351 1.66345 5 2151602 2137328 400957
65.356 1.72168 5 2139991 2125560 376319
65.361 1.76263 5 2142386 2127829 361687
65.366 1.79814 5 2129023 2114343 346938
65.371 1.82261 5 2121030 2106101 337289
65.376 1.84578 5 2095060 2079633 325490
65.381 1.85875 5 2081548 2065850 319205
65.386 1.86863 5 2065020 2049035 313528
65.391 1.87532 5 2053084 2036794 309604
65.396 1.88559 5 2032816 2016164 303374
65.401 1.8906 5 2019941 2003034 299914
65.406 1.89757 5 1991889 1974437 293619
65.411 1.90195 5 1973810 1956054 289638
65.416 1.90771 5 1929863 1911436 281459
65.421 1.91055 5 1897376 1878409 275846
65.426 1.91296 5 1875591 1856234 271961
65.431 1.91466 5 1854766 1835182 268442
65.436 1.91661 5 1836009 1816051 265148
65.441 1.91837 5 1804635 1784274 260086
65.446 1.91977 5 1761887 1741018 253472
65.451 1.92123 5 1736814 1715568 249430
